ensgene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,symbol
ENSG00000068323,1235.4073396098588,0.025289612618001535,0.07479313853203655,0.338127442093757,0.7352671513854088,0.8470101016209928,TFE3
ENSG00000068354,239.31820127803573,-0.16900691136577864,0.20235250519120374,-0.8352103731361432,0.40359927020624575,0.5925061535971659,TBC1D25
ENSG00000068366,38847.6892010041,-0.6969992070880388,0.06215632682995228,-11.213648595981132,3.494837763571987e-29,2.2418813879198577e-27,ACSL4
ENSG00000068383,1324.1661413030597,0.11331844886696332,0.05280549725669057,2.1459593177603424,0.03187622457382772,0.08884737272266732,INPP5A
ENSG00000068394,465.5550599690441,-0.3900723447612216,0.08407731266458092,-4.639448293469858,3.493405237883557e-6,2.763279708472987e-5,GPKOW
ENSG00000068400,1133.2848431849134,0.2954374776288894,0.10518406808510207,2.8087664130831826,0.0049731715653356994,0.018771142287484523,GRIPAP1
ENSG00000068438,863.0982412530828,-0.26286026983028715,0.10972192587360703,-2.3956950056918083,0.016588887428798514,0.051808518988119945,FTSJ1
ENSG00000068489,2866.190645638312,-0.33267545924873304,0.09138560780779785,-3.6403484884448747,2.7226928503232956e-4,0.0014637891327219333,PRR11
ENSG00000068615,10.610375311382786,0.7730808225618346,0.5612578625340974,1.3774075592836237,0.16838627706533166,0.3236861584206242,REEP1
ENSG00000068650,4763.36486429528,-0.5448226700447679,0.10279481066699646,-5.30009896909796,1.1573992414564295e-7,1.173026572986643e-6,ATP11A
ENSG00000068654,4280.846363730862,-0.045085940878206034,0.21382315824087045,-0.21085621056731846,0.8329994747522255,0.9070616353692692,POLR1A
ENSG00000068697,13900.168246869922,0.11771862335042416,0.06667382092018842,1.7655898780923127,0.07746467938617235,0.18074813156721792,LAPTM4A
ENSG00000068724,1936.5835902674012,0.13508529803886196,0.09286657411125347,1.4546170065133528,0.14577532020177425,0.2917395734236211,TTC7A
ENSG00000068745,1939.4948474010116,0.25814312366632997,0.05018967570545165,5.143351098367233,2.6988057212561275e-7,2.575840268526047e-6,IP6K2
ENSG00000068784,1279.0072738151066,-0.03293987652711363,0.08891331627893827,-0.37047180226384613,0.7110309828127035,0.8315733780724773,SRBD1
ENSG00000068796,1726.0039928268018,-0.05465474660327687,0.04930631639152641,-1.1084735304353341,0.2676573644629866,0.450359348144524,KIF2A
ENSG00000068831,4.999008178038595,-0.30111130565144917,1.2471790852680047,-0.24143389606853755,0.809218844353168,0.8930788147644114,RASGRP2
ENSG00000068878,9947.112741887433,-0.41303206758247885,0.0926055908938085,-4.4601202108424065,8.191369492151932e-6,6.106242264873809e-5,PSME4
ENSG00000068885,1118.944070088479,-0.04299168324900036,0.1053395022485304,-0.4081249894988956,0.683181914498421,0.8128882791189472,IFT80
ENSG00000068903,636.4425485061818,0.4200925976571866,0.14728848055170823,2.852175513547413,0.004342111852254599,0.01672737203136772,SIRT2
ENSG00000068912,5010.498224307569,0.04703680267140185,0.06523659645696174,0.7210186494390958,0.4708980405804887,0.6518188876440753,ERLEC1
ENSG00000068971,171.97782479561934,0.4577617705727386,0.27389433493923554,1.671307917610982,0.09466087335180172,0.21090165517048848,PPP2R5B
ENSG00000068976,6.0584498674605936,1.9068172432045492,0.985651265983793,1.9345759590754716,0.05304235253214938,0.1338479747268587,PYGM
ENSG00000068985,7.477693475476307,-0.28085859476963865,0.6351668000115327,-0.44218084881725417,0.6583583433041358,0.797735029737616,PAGE1
ENSG00000069011,324.5041662207744,0.20014084531819298,0.13027090874691652,1.536343357418471,0.12445419095795614,0.25967094876258046,PITX1
ENSG00000069020,500.7095956578221,-0.06246377870728284,0.14059338339812236,-0.44428675943022405,0.6568352728009654,0.7968061927141259,MAST4
ENSG00000069122,4.204866582718873,-0.45336250753774365,1.4397642585565036,-0.31488662455913535,0.7528477374549203,0.8581178102024922,ADGRF5
ENSG00000069188,6.8267400061735,1.0037642749686333,1.5264074812178883,0.6575991583635,0.5107957355167887,0.6856918908595342,SDK2
ENSG00000069248,2651.118017923933,0.1712391867013841,0.0951806226206663,1.7990971479966282,0.07200331472643938,0.17060145306402524,NUP133
